Seed,Overall W-L%,Conference W-L%,Own PPG,Opp PPG,sweet-16?
14,0.828,0.867,74.2,61.6,No
2,0.788,0.889,79.7,70.1,Yes
16,0.586,0.467,67.6,67.7,No
3,0.781,0.765,81.4,70.8,Yes
1,0.933,0.929,82.9,65.5,Yes
6,0.741,0.769,77,69,No
7,0.667,0.625,64.9,61.9,No
15,0.704,0.8,70.9,71.2,No
14,0.875,0.917,85.2,69.6,No
5,0.719,0.7,73.1,63.8,No
7,0.652,0.647,71.7,64.6,No
5,0.71,0.7,76,68.2,Yes
11,0.839,0.833,74.7,64.8,No
16,0.6,0.444,70.4,67.4,No
14,0.667,0.8,78.2,71,No
7,0.6,0.563,74.2,70.3,No
4,0.72,0.733,77.2,69.2,Yes
12,0.5,0.438,71.4,71.7,No
9,0.654,0.647,74.9,70,No
1,0.969,1,91,69.7,Yes
15,0.708,0.75,71.4,62.8,No
16,0.625,0.571,65.4,63.9,No
2,0.875,0.824,74.9,58.6,Yes
1,0.774,0.8,80.5,68.6,No
15,0.667,0.667,71.3,66.1,No
2,0.71,0.7,83.7,72.7,No
3,0.7,0.667,72.5,67.4,No
13,0.793,0.846,72.7,62.5,No
8,0.655,0.647,81.8,75.2,No
8,0.839,0.889,70.1,56.4,Yes
10,0.548,0.45,67.8,65.9,No
1,0.821,0.824,75.8,65.1,Yes
11,0.536,0.45,69.4,71.1,No
9,0.615,0.5,73.4,71.9,No
14,0.742,0.85,68.1,64.7,No
3,0.522,0.563,63.2,62.2,No
16,0.68,0.667,73.3,71,No
8,0.621,0.625,75.2,69.9,No
13,0.7,0.722,73,67.3,No
13,0.643,0.643,68.3,61.7,No
13,0.68,0.643,78.7,72.6,No
2,0.677,0.6,77.2,71.1,No
8,0.593,0.529,74.5,69.9,No
4,0.7,0.611,76.6,72.7,No
15,0.621,0.667,78.9,77.2,Yes
7,0.75,0.778,74.9,68.4,Yes
12,0.606,0.5,69.1,68.4,Yes
4,0.643,0.684,71,66.7,No
10,0.571,0.5,69.3,67.6,No
6,0.821,0.824,73.3,61.9,No
6,0.758,0.75,74.9,65.1,Yes
9,0.762,0.733,70,61.1,No
11,0.643,0.563,74.8,70.1,Yes
5,0.667,0.588,71.9,63.5,No
3,0.704,0.647,74.4,68.2,No
16,0.654,0.769,72.7,69.8,No
6,0.621,0.529,72.5,63.2,No
11,0.688,0.684,73.4,68.4,Yes
12,0.815,0.833,73.4,63.6,No
11,0.69,0.765,72,62.3,No
